seed,method,variant,target_deg,baseline_mean_deg,guided_mean_deg,baseline_std_deg,guided_std_deg,requested_change_deg,achieved_change_deg,signed_error_deg,abs_error_deg,frame_hit_band,final_summary_in_band,loose_hit,positive_overshoot_deg,negative_undershoot_deg,overshoot_p90_deg,temporal_corr,phase_valid_fraction,active_frame_count
129,V7,v7-auto-dps,20,-8.790570259094238,17.198442459106445,1.5566219091415405,1.0387330055236816,28.79057025909424,25.989012718200684,-2.8015575408935547,2.8015575408935547,0.20833333333333334,0.0,0.9,0.0,1.1828408241271973,0.0,0.6584390997886658,1.0,120
100,V2,v2-dps,20,-9.505600929260254,20.450048446655273,2.240405559539795,1.5960099697113037,29.505600929260254,29.955649375915527,0.45004844665527344,0.45004844665527344,0.8083333333333333,0.5333333333333333,1.0,0.9372214674949646,0.0,2.9953857421875,-0.14081501960754395,1.0,120
101,V2,v2-dps,20,-11.317452430725098,19.710811614990234,2.1679203510284424,0.7037313580513,31.317452430725098,31.028264045715332,-0.2891883850097656,0.2891883850097656,1.0,1.0,1.0,0.0,0.0,0.6495727539062504,0.43234536051750183,1.0,120
102,V2,v2-dps,20,-11.411717414855957,19.771852493286133,1.6562360525131226,0.5503152012825012,31.411717414855957,31.18356990814209,-0.2281475067138672,0.2281475067138672,1.0,1.0,1.0,0.0,0.0,0.4215789794921877,0.26514530181884766,1.0,120
103,V2,v2-dps,20,-12.249560356140137,21.202741622924805,2.207059621810913,1.2374217510223389,32.24956035614014,33.45230197906494,1.2027416229248047,1.2027416229248047,0.8083333333333333,1.0,0.9833333333333333,1.2163006067276,0.0,3.1295568466186534,0.5404146909713745,1.0,120
104,V2,v2-dps,20,-8.251495361328125,19.623106002807617,1.897140622138977,1.2048372030258179,28.251495361328125,27.874601364135742,-0.3768939971923828,0.3768939971923828,0.9416666666666667,1.0,1.0,1.0572534799575806,0.0,0.6810850143432617,-0.041746146976947784,1.0,120
105,V2,v2-dps,20,-8.166004180908203,19.6109619140625,1.4528759717941284,0.6781710982322693,28.166004180908203,27.776966094970703,-0.3890380859375,0.3890380859375,1.0,1.0,1.0,0.0,0.0,0.572672462463379,0.03319690003991127,1.0,120
106,V2,v2-dps,20,-11.713769912719727,18.962305068969727,1.7832727432250977,0.5307862758636475,31.713769912719727,30.676074981689453,-1.0376949310302734,1.0376949310302734,1.0,1.0,1.0,0.0,0.0,0.0,0.3260720372200012,1.0,120
107,V2,v2-dps,20,-11.321124076843262,19.93014907836914,2.1939144134521484,0.7746720910072327,31.32112407684326,31.251273155212402,-0.06985092163085938,0.06985092163085938,1.0,1.0,1.0,0.0,0.0,1.016147994995117,0.22571395337581635,1.0,120
108,V2,v2-dps,20,-11.359766006469727,19.57469940185547,1.5539395809173584,0.7023090720176697,31.359766006469727,30.934465408325195,-0.42530059814453125,0.42530059814453125,1.0,1.0,1.0,0.0,0.0,0.8754487991333009,0.187700092792511,1.0,120
109,V2,v2-dps,20,-10.359297752380371,20.07090187072754,1.464119553565979,1.0426024198532104,30.35929775238037,30.43019962310791,0.07090187072753906,0.07090187072753906,0.9583333333333334,0.8333333333333334,1.0,0.06919898837804794,0.0,1.467768287658692,0.608681857585907,1.0,120
110,V2,v2-dps,20,-11.474369049072266,19.437952041625977,2.7588324546813965,0.7136756181716919,31.474369049072266,30.912321090698242,-0.5620479583740234,0.5620479583740234,1.0,1.0,1.0,0.0,0.0,0.39238319396972704,0.2690027952194214,1.0,120
111,V2,v2-dps,20,-14.115246772766113,19.969388961791992,3.12833309173584,0.7578365802764893,34.11524677276611,34.084635734558105,-0.030611038208007812,0.030611038208007812,0.9833333333333333,1.0,1.0,0.21616077423095703,0.0,0.9808784484863283,-0.04452110454440117,1.0,120
112,V2,v2-dps,20,-11.970112800598145,20.58598518371582,2.074730157852173,2.171881914138794,31.970112800598145,32.556097984313965,0.5859851837158203,0.5859851837158203,0.8333333333333334,0.9666666666666667,0.9166666666666666,2.476125478744507,0.0,2.9074928283691444,-0.20280517637729645,1.0,120
113,V2,v2-dps,20,-7.062127590179443,19.52832794189453,1.588762879371643,1.1992719173431396,27.062127590179443,26.590455532073975,-0.47167205810546875,0.47167205810546875,0.95,1.0,1.0,0.13036957383155823,0.013231277465820312,1.7612003326416017,0.25348174571990967,1.0,120
114,V2,v2-dps,20,-10.818609237670898,21.384462356567383,1.3405882120132446,1.541398525238037,30.8186092376709,32.20307159423828,1.3844623565673828,1.3844623565673828,0.6166666666666667,0.5333333333333333,1.0,1.0224742889404297,0.0,3.4361013412475585,0.7473591566085815,1.0,120
115,V2,v2-dps,20,-10.94485092163086,19.413190841674805,1.32500159740448,0.8285875916481018,30.94485092163086,30.358041763305664,-0.5868091583251953,0.5868091583251953,1.0,1.0,1.0,0.0,0.0,0.3507802963256844,0.2819903790950775,1.0,120
116,V2,v2-dps,20,-9.3626127243042,19.652681350708008,2.861943244934082,0.8291745185852051,29.3626127243042,29.015294075012207,-0.3473186492919922,0.3473186492919922,0.9666666666666667,1.0,1.0,0.25791120529174805,0.0,0.5631837844848636,-0.12227962911128998,1.0,120
117,V2,v2-dps,20,-10.205202102661133,19.71938133239746,1.7722349166870117,0.8521026968955994,30.205202102661133,29.924583435058594,-0.28061866760253906,0.28061866760253906,1.0,1.0,1.0,0.0,0.0,0.6918493270874024,0.0647650808095932,1.0,120
